key	value	is_plural	phrase
aeroway	aerodrome	0	مطار
aeroway	aerodrome	1	مطارs
amenity	arts_centre	0	مركز فني/ثقافي
amenity	arts_centre	1	مركز فني/ثقافيs
amenity	atm	0	صراف آلي
amenity	atm	1	صراف آليs
amenity	auditorium	0	قاعة محاضرات
amenity	auditorium	1	قاعة محاضراتs
amenity	bank	0	مصرف
amenity	bank	1	مصرفs
amenity	bar	0	حانة
amenity	bar	1	حانةs
amenity	bench	0	مقعد
amenity	bench	1	مقعدs
amenity	bicycle_parking	0	موقف دراجات
amenity	bicycle_parking	1	موقف دراجاتs
amenity	bicycle_rental	0	تأجير دراجة
amenity	bicycle_rental	1	تأجير دراجةs
amenity	brothel	0	بيت دعارة
amenity	brothel	1	بيت دعارةs
amenity	bureau_de_change	0	مكتب صرافة
amenity	bureau_de_change	1	مكتب صرافةs
amenity	bus_station	0	محطة حافلات
amenity	bus_station	1	محطة حافلاتs
amenity	cafe	0	مقهى
amenity	cafe	1	مقهىs
amenity	car_rental	0	تأجير سيارات
amenity	car_rental	1	تأجير سياراتs
amenity	car_sharing	0	مشاركة سيارات
amenity	car_sharing	1	مشاركة سياراتs
amenity	car_wash	0	غسيل سيارات
amenity	car_wash	1	غسيل سياراتs
amenity	casino	0	نادي قمار
amenity	casino	1	نادي قمارs
amenity	cinema	0	سينما
amenity	cinema	1	سينماs
amenity	clinic	0	عيادة
amenity	clinic	1	عيادةs
amenity	club	0	نادي
amenity	club	1	ناديs
amenity	college	0	كلّية
amenity	college	1	كلّيةs
amenity	community_centre	0	مركز اجتماع
amenity	community_centre	1	مركز اجتماعs
amenity	courthouse	0	محكمة
amenity	courthouse	1	محكمةs
amenity	crematorium	0	محرقة جثث
amenity	crematorium	1	محرقة جثثs
amenity	dentist	0	طبيب أسنان
amenity	dentist	1	طبيب أسنانs
amenity	doctors	0	أطباء
amenity	doctors	1	أطباءs
amenity	dormitory	0	عنبر نوم
amenity	dormitory	1	عنبر نومs
amenity	drinking_water	0	مياه عذبة
amenity	drinking_water	1	مياه عذبةs
amenity	driving_school	0	مدرسة تعليم قيادة
amenity	driving_school	1	مدرسة تعليم قيادةs
amenity	embassy	0	سفارة
amenity	embassy	1	سفارةs
amenity	emergency_phone	0	هاتف طوارئ
amenity	emergency_phone	1	هاتف طوارئs
amenity	fast_food	0	وجبات سريعة
amenity	fast_food	1	وجبات سريعةs
amenity	ferry_terminal	0	مرسى عبّارة
amenity	ferry_terminal	1	مرسى عبّارةs
amenity	fire_hydrant	0	مواد مكافحة حرائق
amenity	fire_hydrant	1	مواد مكافحة حرائقs
amenity	fire_station	0	فوج إطفاء
amenity	fire_station	1	فوج إطفاءs
amenity	fountain	0	نافورة
amenity	fountain	1	نافورةs
amenity	fuel	0	وقود
amenity	fuel	1	وقودs
amenity	grave_yard	0	مقبرة
amenity	grave_yard	1	مقبرةs
amenity	gym	0	مركز للرشاقة/الرياضة
amenity	gym	1	مركز للرشاقة/الرياضةs
amenity	hall	0	قاعة
amenity	hall	1	قاعةs
amenity	health_centre	0	مركز صحي
amenity	health_centre	1	مركز صحيs
amenity	hospital	0	مستشفى
amenity	hospital	1	مستشفىs
amenity	hotel	0	فندق
amenity	hotel	1	فندقs
amenity	hunting_stand	0	مربط للصيد
amenity	hunting_stand	1	مربط للصيدs
amenity	ice_cream	0	مثلجات
amenity	ice_cream	1	مثلجاتs
amenity	kindergarten	0	حضانة أطفال
amenity	kindergarten	1	حضانة أطفالs
amenity	library	0	مكتبة
amenity	library	1	مكتبةs
amenity	market	0	سوق
amenity	market	1	سوقs
amenity	marketplace	0	سوق
amenity	marketplace	1	سوقs
amenity	mountain_rescue	0	للإنقاذ في الجبل
amenity	mountain_rescue	1	للإنقاذ في الجبلs
amenity	nightclub	0	نادي ليلي
amenity	nightclub	1	نادي ليليs
amenity	nursery	0	رعاية تمريضية
amenity	nursery	1	رعاية تمريضيةs
amenity	nursing_home	0	دار رعاية مسنين/معاقين
amenity	nursing_home	1	دار رعاية مسنين/معاقينs
amenity	office	0	مكتب
amenity	office	1	مكتبs
amenity	park	0	منتزه
amenity	park	1	منتزهs
amenity	parking	0	موقف سيارات
amenity	parking	1	موقف سياراتs
amenity	pharmacy	0	صيدلية
amenity	pharmacy	1	صيدليةs
amenity	place_of_worship	0	معبد
amenity	place_of_worship	1	معبدs
amenity	police	0	شرطة
amenity	police	1	شرطةs
amenity	post_box	0	صندوق بريد
amenity	post_box	1	صندوق بريدs
amenity	post_office	0	مكتب بريد
amenity	post_office	1	مكتب بريدs
amenity	preschool	0	روضة أطفال
amenity	preschool	1	روضة أطفالs
amenity	prison	0	سجن
amenity	prison	1	سجنs
amenity	pub	0	حانة
amenity	pub	1	حانةs
amenity	public_building	0	مبنى عام
amenity	public_building	1	مبنى عامs
amenity	public_market	0	سوق عمومي
amenity	public_market	1	سوق عموميs
amenity	reception_area	0	منطقة استقبال
amenity	reception_area	1	منطقة استقبالs
amenity	recycling	0	نقطة إعادة تصنيع
amenity	recycling	1	نقطة إعادة تصنيعs
amenity	restaurant	0	مطعم
amenity	restaurant	1	مطعمs
amenity	retirement_home	0	بيت مسنين
amenity	retirement_home	1	بيت مسنينs
amenity	sauna	0	حمّام بخاري حار
amenity	sauna	1	حمّام بخاري حارs
amenity	school	0	مدرسة
amenity	school	1	مدرسةs
amenity	shelter	0	ملجأ
amenity	shelter	1	ملجأs
amenity	shop	0	متجر/دكان/حانوت
amenity	shop	1	متجر/دكان/حانوتs
amenity	shopping	0	التسوق
amenity	shopping	1	التسوقs
amenity	social_club	0	نادي اجتماعي
amenity	social_club	1	نادي اجتماعيs
amenity	studio	0	ستوديو
amenity	studio	1	ستوديوs
amenity	supermarket	0	سوبرماركت
amenity	supermarket	1	سوبرماركتs
amenity	taxi	0	سيارة أجرة
amenity	taxi	1	سيارة أجرةs
amenity	telephone	0	هاتف عمومي
amenity	telephone	1	هاتف عموميs
amenity	theatre	0	مسرح
amenity	theatre	1	مسرحs
